"","db","query","order","family","genus","genus_old"
"346","itis","Leioproctus","Hymenoptera","Colletidae","Leioproctus","Leioproctus"
"347","itis","Incurviseta",NA,NA,NA,"Incurviseta"
"348","itis","Unientified",NA,NA,NA,"Unientified"
"349","itis","Dilophus","Diptera","Bibionidae","Dilophus","Dilophus"
"350","itis","Exonera",NA,NA,NA,"Exonera"
"351","itis","Calliphora","Diptera","Calliphoridae","Calliphora","Calliphora"
"352","itis","Poecilohetaerus",NA,NA,NA,"Poecilohetaerus"
"353","itis","Comptosia",NA,NA,NA,"Comptosia"
"354","itis","Pelecorhychus",NA,NA,NA,"Pelecorhychus"
"355","itis","Tephritis",NA,NA,NA,"Tephritis"
"356","itis","Prosena","Diptera","Tachinidae","Prosena","Prosena"
"357","itis","Coenosia","Diptera","Muscidae","Coenosia","Coenosia"
"358","itis","Empis","Diptera","Empididae","Empis","Empis"
"359","itis","Senostoma",NA,NA,NA,"Senostoma"
"360","itis","Villa","Diptera","Bombyliidae","Villa","Villa"
"361","itis","Alophera",NA,NA,NA,"Alophera"
"362","itis","Sapromyza","Diptera","Lauxaniidae","Sapromyza","Sapromyza"
"363","itis","Euryglossa",NA,NA,NA,"Euryglossa"
"364","itis","Rivellia","Diptera","Platystomatidae","Rivellia","Rivellia"
"365","itis","Scaptomyza","Diptera","Drosophilidae","Scaptomyza","Scaptomyza"
"366","itis","Tabanus","Diptera","Tabanidae","Tabanus","Tabanus"
"367","itis","Hydrellia","Diptera","Ephydridae","Hydrellia","Hydrellia"
"368","itis","Chaetophthalamus",NA,NA,NA,"Chaetophthalamus"
"369","itis","Chloromerus",NA,NA,NA,"Chloromerus"
"370","itis","Diostracus","Diptera","Dolichopodidae","Diostracus","Diostracus"
"371","itis","Hyphesma","Hymenoptera","Colletidae","Hyphesma","Hyphesma"
"372","itis","Limnophora","Diptera","Muscidae","Limnophora","Limnophora"
"373","itis","Phytoliriomyza","Diptera","Agromyzidae","Phytoliriomyza","Phytoliriomyza"
"374","itis","Prohardya",NA,NA,NA,"Prohardya"
"375","itis","Rutilia","Araneae","Liocranidae","Agraecina","Rutilia"
"376","itis","Scaptia",NA,NA,NA,"Scaptia"
"377","itis","Sphenella","Diptera","Tephritidae","Sphenella","Sphenella"
"378","itis","Tapeigaster",NA,NA,NA,"Tapeigaster"
"379","itis","Acalyptrate",NA,NA,NA,"Acalyptrate"
"380","itis","Achaea","Lepidoptera","Erebidae","Achaea","Achaea"
"381","itis","Acopsis",NA,NA,NA,"Acopsis"
"382","itis","Aganais",NA,NA,NA,"Aganais"
"383","itis","Agathidinae",NA,NA,NA,"Agathidinae"
"384","itis","Agrostis","Poales","Poaceae","Agrostis","Agrostis"
"385","itis","Ahasverus","Coleoptera","Silvanidae","Ahasverus","Ahasverus"
"386","itis","Anthomyia","Diptera","Anthomyiidae","Anthomyia","Anthomyia"
"387","itis","Atherigona","Diptera","Muscidae","Atherigona","Atherigona"
"388","itis","Bactrocera","Diptera","Tephritidae","Bactrocera","Bactrocera"
"389","itis","Brachymyrmex","Hymenoptera","Formicidae","Brachymyrmex","Brachymyrmex"
"390","itis","Calcidoidae",NA,NA,NA,"Calcidoidae"
"391","itis","Calopsilia",NA,NA,NA,"Calopsilia"
"392","itis","Campopleginae",NA,NA,NA,"Campopleginae"
"393","itis","Cephonodes",NA,NA,NA,"Cephonodes"
"394","itis","Cerambycidae","Coleoptera","Cerambycidae",NA,"Cerambycidae"
"395","itis","Ceratitis","Diptera","Tephritidae","Ceratitis","Ceratitis"
"396","itis","Chaetocnema","Coleoptera","Chrysomelidae","Chaetocnema","Chaetocnema"
"397","itis","Cheloninae",NA,NA,NA,"Cheloninae"
"398","itis","Chironomidae","Diptera","Chironomidae",NA,"Chironomidae"
"399","itis","Chrysomya",NA,NA,"Chrysomya","Chrysomya"
"400","itis","Cicadellidae","Hemiptera","Cicadellidae",NA,"Cicadellidae"
"401","itis","Cixiidae","Hemiptera","Cixiidae",NA,"Cixiidae"
"402","itis","Condica","Lepidoptera","Noctuidae","Condica","Condica"
"403","itis","Conocephalus","Orthoptera","Tettigoniidae","Conocephalus","Conocephalus"
"404","itis","Cotesia",NA,NA,NA,"Cotesia"
"405","itis","Cratopus",NA,NA,NA,"Cratopus"
"406","itis","Cryptinae",NA,NA,NA,"Cryptinae"
"407","itis","Cryptocephalinae","Coleoptera","Chrysomelidae",NA,"Cryptocephalinae"
"408","itis","Dasytinae","Coleoptera","Melyridae",NA,"Dasytinae"
"409","itis","Dioxyna","Diptera","Tephritidae","Dioxyna","Dioxyna"
"410","itis","Diptera","Diptera",NA,NA,"Diptera"
"411","itis","Dolichopodidae","Diptera","Dolichopodidae",NA,"Dolichopodidae"
"412","itis","Drosophila","Diptera","Drosophilidae","Drosophila","Drosophila"
"413","itis","Dysauxes",NA,NA,NA,"Dysauxes"
"414","itis","Eilema","Lepidoptera","Erebidae","Eilema","Eilema"
"415","itis","Eumolpinae","Coleoptera","Chrysomelidae",NA,"Eumolpinae"
