Network_id,Type_network,Node_id,Node_FG,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Heliotaurus ruficollis,Coleoptera,0,2,0,1,0,13,0,36,0,0,2,7,0,3,0,0,0,55,0,0,10,9,0,4,12,0,0,0,21,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Lasioglossum bimaculatus,Bee,0,2,0,1,0,8,0,16,0,0,5,8,0,0,0,0,0,20,0,0,13,16,0,18,12,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Lasioglossum imminutus,Bee,0,2,0,1,0,8,0,16,0,0,5,8,0,0,0,0,0,20,0,0,13,16,0,18,12,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Merodon sp.,Syrphids,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,-0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Musca sp.,Non-syrphids-diptera,0,1,0,0,0,6,0,15,0,0,6,0,0,0,0,-0,0,20,0,0,18,0,0,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Panurgus sp.,Bee,0,1,0,0,0,7,0,21,0,0,4,0,0,0,0,-0,0,35,0,0,12,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Psilothrix viridicoerulea,Coleoptera,0,1,0,0,0,7,0,21,0,0,4,0,0,0,0,-0,0,35,0,0,12,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Xylocopa violacea,Bee,0,2,0,1,0,13,0,36,0,0,2,7,0,3,0,0,0,55,0,0,10,9,0,4,12,0,0,0,21,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Cistus ladanifer,3,3,0,1,0,3,0,1,0,6,2,0,0,0,0,0,0,0,0,15,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Cistus salviifolius,3,7,0,6,0,21,0,35,0,20,24,0,0,6,0,0,0,35,0,26,42,0,0,72,0,0,24,18,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Erica scoparia,1,1,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Erica umbellata,2,3,0,1,0,3,0,1,0,6,2,0,0,0,0,0,0,0,0,15,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Rosmarinus officinalis,5,8,0,4,0,28,0,56,0,12,16,0,0,6,0,0,0,70,0,12,24,0,0,48,0,0,18,24,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Andrena hispania,Bee,0,1,0,0,0,5,0,10,0,0,2,0,0,0,0,-0,0,10,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 459,Andrena sp.,Bee,0,1,0,0,0,5,0,10,0,0,2,0,0,0,0,-0,0,10,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
