"","Species_all","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system.x","IMPUTED_Compatibility.x","Autonomous_selfing_level.x","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set.x","Flower_morphology.x","Flower_symmetry.x","Flowers_per_plant.x","Flowers_per_inflorescence.x","Floral_unit_width.x","Corolla_diameter_mean.x","Corolla_length_mean.x","STYLE_IMPUTED.x","OVULES_IMPUTED.x","life_form.x","lifespan.x","IMPUTED_plant_height_mean_m.x","Breeding_system.y","IMPUTED_Compatibility.y","Autonomous_selfing_level.y","Autonomous_selfing_level_fruit_set.y","Flower_morphology.y","Flower_symmetry.y","Flowers_per_plant.y","Flowers_per_inflorescence.y","Floral_unit_width.y","Corolla_diameter_mean.y","Corolla_length_mean.y","STYLE_IMPUTED.y","OVULES_IMPUTED.y","life_form.y","lifespan.y","IMPUTED_plant_height_mean_m.y","Clusters"
"1636","Origanum vulgare","Origanum vulgare","Non-syrphids-diptera","5_1_fang_2008_china.csv",6,-0.431732777850809,"Lamiales","Lamiaceae","Origanum","hermaphrodite","self_compatible","none","quantitative","0","tube","zygomorphic","100","15","35","4","7.5","18.5","4","herb","perennial","0.5","Hermaphrodite","self_compatible","none",-0.712461093035608,"Tube","zygomorphic",-0.222075194578218,-0.131227343468773,-0.148365394918843,-0.563844934377526,-0.196724953646318,1.31529726370643,-0.125100583913004,"herb","Perennial",-0.429893443498942,3
"1637","Orites lancifolius","Orites lancifolia","Bee","6_1_inouye_1988_australia.csv",50,1.3528037026732,"Proteales","Proteaceae","Orites","hermaphrodite","NA","NA","NA","NA","tube","actinomorphic","9500","30","40","5","4.0999999999999996","8","2","shrub","perennial","1","Hermaphrodite","self_compatible","low",-0.295669192216234,"Tube","actinomorphic",0.851829231713208,-0.094904854288351,-0.0368800062821798,-0.515034956457883,-0.393925633731194,0.161297305857943,-0.126340691096113,"shrub","Perennial",-0.288586205834236,2
"1638","Orites lancifolius","Orites lancifolia","Syrphids","6_1_inouye_1988_australia.csv",2,-0.507969769778476,"Proteales","Proteaceae","Orites","hermaphrodite","NA","NA","NA","NA","tube","actinomorphic","9500","30","40","5","4.0999999999999996","8","2","shrub","perennial","1","Hermaphrodite","self_compatible","low",-0.295669192216234,"Tube","actinomorphic",0.851829231713208,-0.094904854288351,-0.0368800062821798,-0.515034956457883,-0.393925633731194,0.161297305857943,-0.126340691096113,"shrub","Perennial",-0.288586205834236,2
"1639","Orites lancifolius","Orites lancifolia","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",25,0.383650852437954,"Proteales","Proteaceae","Orites","hermaphrodite","NA","NA","NA","NA","tube","actinomorphic","9500","30","40","5","4.0999999999999996","8","2","shrub","perennial","1","Hermaphrodite","self_compatible","low",-0.295669192216234,"Tube","actinomorphic",0.851829231713208,-0.094904854288351,-0.0368800062821798,-0.515034956457883,-0.393925633731194,0.161297305857943,-0.126340691096113,"shrub","Perennial",-0.288586205834236,2
"1640","Oxalis sp","Oxalis sp.","Lepidoptera","10_1_souza_2017_brazil_chaco.csv",6,-0.212293105687417,"Oxalidales","Oxalidaceae","Oxalis","NA","NA","NA","NA","NA","NA","NA","20","1","5.0999999999999996","5.0999999999999996","1.3","1","71","NA","NA","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1641","Oxalis sp","Oxalis sp.","Bee","10_1_souza_2017_brazil_chaco.csv",1,-0.238344143414398,"Oxalidales","Oxalidaceae","Oxalis","NA","NA","NA","NA","NA","NA","NA","20","1","5.0999999999999996","5.0999999999999996","1.3","1","71","NA","NA","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1642","Oxalis sp","Oxalis sp.","Coleoptera","10_1_souza_2017_brazil_chaco.csv",1,-0.238344143414398,"Oxalidales","Oxalidaceae","Oxalis","NA","NA","NA","NA","NA","NA","NA","20","1","5.0999999999999996","5.0999999999999996","1.3","1","71","NA","NA","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1643","Oxalis sp","Oxalis sp.","Non-syrphids-diptera","10_1_souza_2017_brazil_chaco.csv",1,-0.238344143414398,"Oxalidales","Oxalidaceae","Oxalis","NA","NA","NA","NA","NA","NA","NA","20","1","5.0999999999999996","5.0999999999999996","1.3","1","71","NA","NA","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1644","Oxalis violacea","Oxalis violacea","Bee","16_1_burkle_usa_2013.csv",11,-0.503580338291145,"Oxalidales","Oxalidaceae","Oxalis","hermaphrodite","self_incompatible","low","qualitative","NA","campanulate","actinomorphic","20","1","200","50","24.1","0.75","71","herb","perennial","0.15","Hermaphrodite","self_incompatible","low",-0.223747462865463,"Campanulate","actinomorphic",-0.231214806716868,-0.165128333370501,3.53065243009105,1.68141404992607,0.766078366768073,-0.635512188846968,-0.0835569932788401,"herb","Perennial",-0.528808509864236,2
"1645","Oxylobium ellipticum","Oxylobium ellipticum","Non-syrphids-diptera","6_1_inouye_1988_australia.csv",1,-0.546735883787886,"Fabales","Fabaceae","Oxylobium","hermaphrodite","NA","NA","NA","NA","papilionaceous","zygomorphic","200","40","55","7.1","9","5","9","shrub","perennial","1","Hermaphrodite","partially_self_compatible","low",-0.26632945739575,"Papilionaceous","zygomorphic",-0.210650679404904,-0.0706898615014027,0.297576159627811,-0.412534002826632,-0.109724653608873,-0.168416967813055,-0.12200031595523,"shrub","Perennial",-0.288586205834236,5
"1646","Oxylobium ellipticum","Oxylobium ellipticum","Bee","6_1_inouye_1988_australia.csv",23,0.306118624419134,"Fabales","Fabaceae","Oxylobium","hermaphrodite","NA","NA","NA","NA","papilionaceous","zygomorphic","200","40","55","7.1","9","5","9","shrub","perennial","1","Hermaphrodite","partially_self_compatible","low",-0.26632945739575,"Papilionaceous","zygomorphic",-0.210650679404904,-0.0706898615014027,0.297576159627811,-0.412534002826632,-0.109724653608873,-0.168416967813055,-0.12200031595523,"shrub","Perennial",-0.288586205834236,5
"1647","Pandanus barkleyi","Pandanus barklyi","Syrphids","14_2_kaiser-bunbury_2010_mauritius_restored.csv",4,-0.356995140656784,"Pandanales","Pandanaceae","Pandanus","dioecious","dioecious","none","quantitative","0","NA","NA","300","100","100","2","2","1","1","shrub","perennial","4.5","Dioecious","dioecious","none",-0.712461093035608,"Brush","actinomorphic",-0.199226164231591,0.0746000952202868,1.30094465735778,-0.661464890216813,-0.515726053783617,-0.608035999374385,-0.126960744687668,"shrub","Perennial",0.700564457818706,4
"1648","Pandanus barkleyi","Pandanus barklyi","Non-syrphids-diptera","14_2_kaiser-bunbury_2010_mauritius_restored.csv",1,-0.468991134801149,"Pandanales","Pandanaceae","Pandanus","dioecious","dioecious","none","quantitative","0","NA","NA","300","100","100","2","2","1","1","shrub","perennial","4.5","Dioecious","dioecious","none",-0.712461093035608,"Brush","actinomorphic",-0.199226164231591,0.0746000952202868,1.30094465735778,-0.661464890216813,-0.515726053783617,-0.608035999374385,-0.126960744687668,"shrub","Perennial",0.700564457818706,4
