"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Medusagyne oppositifolia","Monoecious","partially_self_compatible","low",-0.336527531366266,"Brush","actinomorphic",-0.0278584366318959,-0.123962845632689,-0.482821560828834,-0.563844934377526,-0.39972565373369,-0.443178862538886,-0.126340691096113,"tree","Perennial",1.97232959680106,2
"Meehania urticifolia","Hermaphrodite","self_compatible","high",2.5957542496546,"Campanulate","zygomorphic",-0.232357258234199,-0.143334839862248,-0.13860596399759,-0.270985066859666,1.97828254728981,4.22777334780025,-0.122620369546785,"herb","Perennial",-0.486416338564824,1
"Melanthium virginicum","Hermaphrodite","self_compatible","low",-0.220014442598087,"Open","actinomorphic",-0.224931323371546,0.0140626132529162,1.30094465735778,0.217114712336768,-0.515726053783617,-0.38822648359372,-0.114559672856574,"herb","Perennial",-0.260324758301294,2
"Melastoma malabathricum","Hermaphrodite","partially_self_compatible","none",-0.712461093035608,"Open","zygomorphic",-0.224931323371546,-0.143334839862248,3.0847108755444,2.1695138291225,0.238276546540907,2.0296781899936,1.21973365080994,"shrub","Perennial",-0.288586205834236,3
"Melicope chapelieri","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",0.680461504113512,-0.119119847075299,3.53065243009105,-0.61265491229717,-0.602726353821062,-0.662988378319551,-0.122620369546785,"tree","Perennial",3.66801644877753,4
"Melicope lunu-ankenda","Dioecious","dioecious","none",-0.712461093035608,"Open","actinomorphic",0.680461504113512,0.31675002308977,3.53065243009105,-0.61265491229717,-0.602726353821062,-0.662988378319551,-0.122620369546785,"tree","Perennial",3.66801644877753,4
"Melilotus alba","Hermaphrodite","self_compatible","low",-0.223747462865463,"Papilionaceous","zygomorphic",-0.226645000647543,-0.119119847075299,-0.594306949465497,-0.61265491229717,-0.370725553721208,-0.498131241484052,-0.124480530321449,"herb","Short lived",-0.14727896816953,5
"Meliosma oldhamii","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",3.19385484224238,0.558899950959252,3.53065243009105,-0.563844934377526,-0.515726053783617,-0.662988378319551,-0.125100583913004,"tree","Perennial",2.25494407213047,3
"Meliosma rigida","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",0.908951807579773,0.195675059155028,1.30094465735778,-0.61265491229717,-0.509926033781121,-0.662988378319551,-0.125100583913004,"tree","Perennial",0.417949982489294,3
"Meliosma tenuis","Hermaphrodite","self_incompatible","low",-0.644793051935127,"Open","actinomorphic",0.0521131695812954,0.0261701096463903,0.186090770991147,-0.515034956457883,-0.515726053783617,-0.662988378319551,-0.121442267722831,"tree","Perennial",0.135335507159882,2
