Network_id,Node_id,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
2_1_dicks_2002_england_shelfanger,Syrphids,0,5,0,10,0,15,0,16,0,0,0,8,0,26,0,10,0,7,0,0,0,1,0,0,0,0,0,0,19,0,22,0,0,0,6,0,0,0,0,0,0,6,0,24,0,5
2_1_dicks_2002_england_shelfanger,1,4,0,15,0,6,0,4,0,4,3,0,0,21,0,21,0,1,0,0,0,0,0,0,0,0,6,3,0,0,13,0,11,0,0,0,0,0,0,0,9,0,0,27,0,13,0
2_1_dicks_2002_england_shelfanger,2,5,0,15,0,10,0,10,0,0,18,0,0,21,0,21,0,5,0,0,3,0,0,0,0,0,0,24,0,0,13,0,0,21,0,0,0,0,0,0,9,0,0,27,0,13,0
2_1_dicks_2002_england_shelfanger,3,4,0,15,0,6,0,4,0,4,3,0,0,21,0,21,0,1,0,0,0,0,0,0,0,0,6,3,0,0,13,0,11,0,0,0,0,0,0,0,9,0,0,27,0,13,0
2_1_dicks_2002_england_shelfanger,5,4,0,15,0,6,0,4,0,4,3,0,0,21,0,21,0,1,0,0,0,0,0,0,0,0,6,3,0,0,13,0,11,0,0,0,0,0,0,0,9,0,0,27,0,13,0
2_1_dicks_2002_england_shelfanger,4,3,0,12,0,3,0,1,0,15,0,0,0,12,0,18,0,0,0,3,0,0,0,0,0,0,15,0,0,0,4,0,9,0,0,0,0,0,0,18,0,0,0,18,0,12,0
17_1_arroyo_correa_new_zealand_2019_1,Bee,0,5,0,10,0,14,0,20,0,0,0,24,0,16,0,10,0,15,0,0,0,25,0,0,0,0,0,0,25,0,15,0,0,0,15,0,0,0,0,0,0,21,0,9,0,5
17_1_arroyo_correa_new_zealand_2019_1,Coleoptera,0,3,0,3,0,12,0,19,0,0,12,4,0,10,0,1,0,15,0,0,18,1,0,0,0,0,0,9,13,0,12,0,0,3,1,0,0,0,0,0,12,1,0,3,0,0
17_1_arroyo_correa_new_zealand_2019_1,Lepidoptera,0,4,0,6,0,14,0,20,0,0,4,10,0,16,0,4,0,15,0,0,10,5,0,0,0,0,0,0,25,0,15,0,0,0,5,0,0,0,0,0,6,5,0,9,0,1
17_1_arroyo_correa_new_zealand_2019_1,Non-bee-Hymenoptera,0,1,0,0,0,5,0,10,0,0,13,0,0,0,0,-0,0,10,0,0,14,0,0,0,0,0,0,19,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
17_1_arroyo_correa_new_zealand_2019_1,Non-syrphids-diptera,0,4,0,6,0,14,0,20,0,0,4,10,0,16,0,4,0,15,0,0,10,5,0,0,0,0,0,0,25,0,15,0,0,0,5,0,0,0,0,0,6,5,0,9,0,1
17_1_arroyo_correa_new_zealand_2019_1,Syrphids,0,2,0,1,0,9,0,16,0,0,16,1,0,4,0,0,0,14,0,0,20,0,0,0,0,0,0,18,4,0,6,0,0,10,0,0,0,0,0,0,8,0,0,0,0,-0
17_1_arroyo_correa_new_zealand_2019_1,1,3,0,10,0,3,0,1,0,18,2,0,0,9,0,12,0,0,0,12,1,0,0,0,0,0,18,0,0,0,3,0,18,0,0,0,0,0,0,12,6,0,0,9,0,6,0
17_1_arroyo_correa_new_zealand_2019_1,2,6,0,13,0,15,0,20,0,0,27,0,0,19,0,13,0,15,0,0,23,0,0,0,0,0,0,31,0,0,15,0,0,19,0,0,0,0,0,0,22,0,0,12,0,6,0
17_1_arroyo_correa_new_zealand_2019_1,3,4,0,12,0,6,0,4,0,12,6,0,0,15,0,13,0,1,0,4,3,0,0,0,0,0,18,3,0,0,9,0,16,1,0,0,0,0,0,4,14,0,0,12,0,6,0
17_1_arroyo_correa_new_zealand_2019_1,4,5,0,13,0,10,0,10,0,5,14,0,0,19,0,13,0,5,0,0,9,0,0,0,0,0,10,12,0,0,15,0,8,6,0,0,0,0,0,0,22,0,0,12,0,6,0
17_1_arroyo_correa_new_zealand_2019_1,5,1,0,4,0,0,0,-0,0,14,0,0,0,0,0,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,0,0,0,4,0
17_2_arroyo_correa_new_zealand_2019_2,Bee,0,5,0,10,0,17,0,25,0,0,0,24,0,22,0,10,0,19,0,0,0,19,0,0,8,0,0,0,33,0,24,0,0,0,9,0,0,0,0,0,0,27,0,13,0,5
17_2_arroyo_correa_new_zealand_2019_2,Coleoptera,0,4,0,6,0,16,0,25,0,0,6,8,0,20,0,4,0,19,0,0,15,1,0,2,1,0,0,2,26,0,24,0,0,0,4,0,0,4,0,0,7,4,0,12,0,1
17_2_arroyo_correa_new_zealand_2019_2,Lepidoptera,0,4,0,6,0,16,0,25,0,0,6,8,0,20,0,4,0,19,0,0,15,1,0,2,1,0,0,2,26,0,24,0,0,0,4,0,0,4,0,0,7,4,0,12,0,1
17_2_arroyo_correa_new_zealand_2019_2,Non-bee-Hymenoptera,0,2,0,1,0,9,0,16,0,0,20,1,0,4,0,0,0,14,0,0,13,0,0,5,0,0,0,29,4,0,6,0,0,13,0,0,0,2,0,0,9,0,0,0,0,-0
17_2_arroyo_correa_new_zealand_2019_2,Non-syrphids-diptera,0,4,0,6,0,16,0,25,0,0,6,8,0,20,0,4,0,19,0,0,15,1,0,2,1,0,0,2,26,0,24,0,0,0,4,0,0,4,0,0,7,4,0,12,0,1
17_2_arroyo_correa_new_zealand_2019_2,Syrphids,0,3,0,3,0,10,0,16,0,0,19,8,0,6,0,1,0,14,0,0,4,9,0,11,0,0,0,28,11,0,6,0,0,9,1,0,0,14,0,0,12,3,0,1,0,0
17_2_arroyo_correa_new_zealand_2019_2,1,5,0,15,0,10,0,10,0,9,14,0,0,23,0,16,0,5,0,0,6,0,0,4,0,0,16,15,0,0,18,0,11,4,0,0,1,6,0,4,22,0,0,19,0,7,0
17_2_arroyo_correa_new_zealand_2019_2,2,4,0,13,0,6,0,4,0,17,3,0,0,18,0,15,0,1,0,4,3,0,0,3,0,0,24,0,0,0,12,0,19,0,0,0,6,0,0,10,9,0,0,18,0,7,0
17_2_arroyo_correa_new_zealand_2019_2,3,5,0,14,0,10,0,10,0,10,12,0,0,22,0,15,0,5,0,0,6,0,0,8,0,0,16,12,0,0,18,0,9,6,0,0,8,0,0,6,18,0,0,18,0,7,0
17_2_arroyo_correa_new_zealand_2019_2,4,6,0,16,0,15,0,20,0,0,26,0,0,27,0,16,0,15,0,0,16,0,0,0,0,0,0,36,0,0,24,0,0,11,0,0,0,8,0,0,31,0,0,19,0,7,0
17_2_arroyo_correa_new_zealand_2019_2,5,2,0,6,0,1,0,0,0,21,2,0,0,2,0,7,0,-0,0,27,0,0,0,7,0,0,7,0,0,0,0,0,5,1,0,0,13,0,0,22,4,0,0,1,0,4,0
6_1_inouye_1988_australia,Bee,0,5,0,10,0,5,0,1,0,0,0,8,0,6,0,10,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,6,0,4,0,5
6_1_inouye_1988_australia,Non-syrphids-diptera,0,4,0,6,0,5,0,1,0,0,4,3,0,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,6,0,0,4,0,1
6_1_inouye_1988_australia,Syrphids,0,1,0,0,0,2,0,1,0,0,7,0,0,0,0,-0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
6_1_inouye_1988_australia,1,1,0,4,0,0,0,-0,0,5,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,4,0
6_1_inouye_1988_australia,2,3,0,7,0,3,0,1,0,0,8,0,0,3,0,9,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,3,0,5,0
6_1_inouye_1988_australia,3,2,0,7,0,1,0,0,0,2,1,0,0,3,0,9,0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,5,0
6_1_inouye_1988_australia,4,2,0,7,0,1,0,0,0,2,1,0,0,3,0,9,0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,5,0
6_1_inouye_1988_australia,5,2,0,7,0,1,0,0,0,2,1,0,0,3,0,9,0,-0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,3,0,5,0
5_1_fang_2008_china,Bee,0,5,0,10,0,20,0,33,0,0,0,14,0,33,0,10,0,30,0,0,0,8,0,0,0,0,0,0,46,0,39,0,0,0,15,0,0,0,0,0,0,6,0,31,0,5
5_1_fang_2008_china,Coleoptera,0,1,0,0,0,6,0,15,0,0,18,0,0,0,0,-0,0,20,0,0,26,0,0,0,0,0,0,32,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
5_1_fang_2008_china,Lepidoptera,0,5,0,10,0,20,0,33,0,0,0,14,0,33,0,10,0,30,0,0,0,8,0,0,0,0,0,0,46,0,39,0,0,0,15,0,0,0,0,0,0,6,0,31,0,5
5_1_fang_2008_china,Non-bee-Hymenoptera,0,3,0,3,0,14,0,27,0,0,24,4,0,12,0,1,0,28,0,0,16,2,0,0,0,0,0,36,16,0,18,0,0,12,2,0,0,0,0,0,24,0,0,4,0,0
